,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
16,D1,2006-04-11,,Werder Bremen,Cottbus,0.1,0.1,0.0,0.0,D,D,0.7,0.5,0.45,0.3,0.0625,0.3,0.65,0.3333333333333333,0.3333333333333333,1,1,0.3,0.1,0.0,0.1,1.0,0.75,0.2,0.45,0.65,0.45,0.1,0.25,1.0,0.0,6.0,16.0,0.3,0.1,0.0,0.1,0.08950958887500869,0.24005626322282256,,,0.4615384615384615,0.65,0.0,0.5
17,D1,2006-04-11,,Wolfsburg,Hamburg,0.1,0.0,0.1,0.0,H,H,0.55,0.9,0.25,0.6,0.14250000000000002,0.1625,0.1325,1.0,0.0,1,1,0.0,0.1,0.1,0.2,0.3,0.6,0.65,0.5,0.1,0.3,0.35,0.45,0.0,0.0,17.0,16.0,0.0,0.0,0.1,0.1,0.11091188264933442,0.22378346853871334,,,0.0,0.33333333333333337,0.28571428571428575,0.5384615384615384
18,D1,2006-05-11,,Ein Frankfurt,M'gladbach,0.1,0.0,0.0,0.0,H,D,0.95,0.25,0.6,0.1,0.1075,0.16499999999999998,0.205,1.0,0.0,1,1,0.3,0.2,0.1,0.1,0.55,1.0,0.35,1.0,0.35,0.55,0.2,0.55,1.0,0.3333333333333333,7.0,13.0,0.2,0.1,0.1,0.1,0.246980639108043,0.456891788856741,,,0.8571428571428572,0.6363636363636362,0.5,0.5714285714285715
19,D1,2006-05-11,,Schalke 04,Bayern Munich,0.2,0.2,0.2,0.1,D,H,1.0,0.5,0.6,0.25,0.13899999999999998,0.16999999999999998,0.14450000000000002,0.3333333333333333,0.3333333333333333,2,1,0.05,0.15,0.1,0.1,0.525,0.85,1.0,0.35,0.35,0.5,0.55,0.2,0.16666666666666666,0.3333333333333333,16.0,12.0,0.05,0.05,0.1,0.1,0.21671394480413475,0.456891788856741,,,0.14285714285714288,0.6666666666666666,0.18181818181818182,0.55
20,D1,2006-07-11,,Dortmund,Aachen,0.0,0.0,0.0,0.0,D,D,1.0,0.25,0.6,0.1,0.08249999999999999,0.1925,0.325,0.3333333333333333,0.3333333333333333,2,2,0.1,0.05,0.2,0.35,0.7,0.32499999999999996,0.875,0.675,0.42500000000000004,0.175,0.45,0.4,0.6666666666666666,0.0,6.0,18.0,0.0,0.0,0.1,0.2,0.204236498184803,0.2167112110485931,,,0.23529411764705882,0.6071428571428572,0.4444444444444445,0.5142857142857143
21,D1,2006-07-11,,Mainz,Wolfsburg,0.1,0.2,0.1,0.1,A,D,0.45,0.25,0.4,0.2,0.11750000000000001,0.16499999999999998,0.16999999999999998,0.0,1.0,2,2,0.05,0.05,0.05,0.05,0.35,0.9,0.42500000000000004,0.75,0.2,0.475,0.175,0.44999999999999996,0.3333333333333333,0.5,12.0,8.0,0.05,0.05,0.05,0.0,0.2986526186084011,0.16519500885893915,,,0.25,0.5714285714285715,0.28571428571428575,0.41176470588235287
22,D1,2006-07-11,,Nurnberg,Werder Bremen,0.1,0.2,0.0,0.1,A,A,0.45,0.5,0.2,0.3,0.23500000000000001,0.1825,0.095,0.0,1.0,2,2,0.05,0.1,0.2,0.1,0.75,0.375,0.85,0.625,0.45,0.35,0.55,0.375,0.16666666666666666,0.6666666666666666,16.0,7.0,0.0,0.05,0.15,0.05,0.19316531980080415,0.2681483951387974,,,0.11111111111111112,0.6,0.36363636363636365,0.6470588235294118
23,D1,2006-07-11,,Stuttgart,Hamburg,0.2,0.0,0.0,0.0,H,D,0.65,0.9,0.35,0.4,0.0945,0.175,0.24,1.0,0.0,3,2,0.20000000000000004,0.13333333333333333,0.05,0.15000000000000002,0.8333333333333334,0.7000000000000001,0.775,0.525,0.45,0.3833333333333333,0.475,0.35,0.5555555555555555,0.0,5.0,18.0,0.10000000000000002,0.10000000000000002,0.05,0.1,0.2358487169065977,0.2216308018036286,,,0.44444444444444453,0.54,0.10526315789473685,0.6129032258064515
24,D1,2006-08-11,,Bayern Munich,Hannover,0.0,0.1,0.0,0.1,A,A,0.75,0.3,0.3,0.1,0.0625,0.3,0.75,0.0,1.0,2,2,0.15000000000000002,0.15000000000000002,0.05,0.1,0.75,0.675,0.42500000000000004,0.30000000000000004,0.4,0.4,0.225,0.175,0.3333333333333333,0.5,10.0,9.0,0.1,0.15000000000000002,0.05,0.05,0.35301141975731254,0.276289075357082,,,0.37500000000000006,0.5333333333333333,0.22222222222222224,0.5294117647058824
25,D1,2006-08-11,,Bielefeld,Hertha,0.2,0.2,0.1,0.1,D,D,0.8,0.4,0.4,0.25,0.125,0.1625,0.15,0.3333333333333333,0.3333333333333333,2,3,0.05,0.05,0.16666666666666666,0.19999999999999998,0.55,0.525,0.6333333333333334,0.9,0.325,0.30000000000000004,0.43333333333333335,0.5333333333333333,0.3333333333333333,0.4444444444444444,10.0,9.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.275981038696394,0.15997127266767888,,,0.15384615384615385,0.5909090909090908,0.3846153846153846,0.6842105263157894
