,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
15,SC0,2017-05-11,,Hearts,Kilmarnock,0.1,0.2,0.0,0.1,A,A,0.5,0.4,0.1,0.15,0.0915,0.205,0.2375,0.0,1.0,2,2,0.1,0.25,0.15000000000000002,0.15000000000000002,0.275,0.8,0.575,0.35,0.1,0.35,0.25,0.1,0.16666666666666666,0.5,10.0,6.0,0.0,0.05,0.05,0.1,0.1601196054609212,0.23611513086757907,,,1.0,0.36363636363636365,0.6000000000000001,0.4347826086956522
16,SC0,2017-06-08,,Aberdeen,Hamilton,0.2,0.0,0.1,0.0,H,H,0.85,0.25,0.35,0.15,0.068,0.275,0.525,1.0,0.0,2,2,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002,0.475,0.35,0.6,0.425,0.15,0.2,0.275,0.1,0.16666666666666666,0.3333333333333333,9.0,8.0,0.05,0.1,0.05,0.05,0.2525836970672133,0.30982081723221644,,,1.0,0.3157894736842105,0.5454545454545455,0.45833333333333337
17,SC0,2017-06-08,,Motherwell,Rangers,0.1,0.2,0.1,0.1,A,D,0.5,0.75,0.1,0.15,0.2885,0.20750000000000002,0.08499999999999999,0.0,1.0,2,2,0.15000000000000002,0.4,0.25,0.05,0.32499999999999996,0.6499999999999999,0.45,0.375,0.15000000000000002,0.30000000000000004,0.225,0.1,0.0,1.0,11.0,3.0,0.0,0.25,0.15000000000000002,0.0,0.10374004568261977,0.11273394076349783,,,1.0,0.4615384615384617,1.0,0.5
18,SC0,2017-08-09,,Hamilton,Celtic,0.1,0.4,0.0,0.3,A,A,0.25,0.75,0.2,0.3,0.7150000000000001,0.3275,0.064,0.0,1.0,3,3,0.10000000000000002,0.16666666666666666,0.43333333333333335,0.06666666666666667,0.48333333333333334,0.5666666666666667,0.9333333333333332,0.26666666666666666,0.23333333333333336,0.18333333333333335,0.5,0.11666666666666665,0.2222222222222222,1.0,9.0,1.0,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.2190135837299775,0.018983218610951147,0.2222222222222222,1.0,0.4285714285714286,0.48275862068965525,0.8666666666666667,0.5357142857142858
19,SC0,2017-08-12,,Dundee,Aberdeen,0.0,0.1,0.0,0.0,A,D,0.65,0.65,0.25,0.2,0.22549999999999998,0.1915,0.095,0.0,1.0,3,3,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.5833333333333334,0.5,0.6,0.31666666666666665,0.26666666666666666,0.18333333333333335,0.21666666666666665,0.18333333333333335,0.3333333333333333,0.4444444444444444,7.0,6.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.1738967303551701,0.1808555036199754,0.3333333333333333,0.4444444444444444,0.5,0.45714285714285713,0.7692307692307693,0.3611111111111111
20,SC0,2017-08-19,,Aberdeen,Dundee,0.2,0.1,0.1,0.0,H,H,0.5,0.45,0.3,0.05,0.0685,0.275,0.6,1.0,0.0,4,4,0.15,0.1,0.1,0.125,0.6124999999999999,0.4,0.6,0.5375,0.21249999999999997,0.2,0.2625,0.1875,0.5833333333333333,0.25,4.0,7.0,0.05,0.05,0.05,0.05,0.16411763901319282,0.15889855906458883,0.7777777777777777,0.0,0.7058823529411765,0.3469387755102041,0.38095238095238093,0.43750000000000006
21,SC0,2017-08-19,,Hibernian,Hamilton,0.1,0.3,0.0,0.0,A,D,0.75,0.9,0.45,0.4,0.0775,0.22000000000000003,0.375,0.0,1.0,3,4,0.20000000000000004,0.06666666666666667,0.1,0.225,0.5,0.3833333333333333,0.425,0.6125,0.25,0.19999999999999998,0.22500000000000003,0.21250000000000002,1.0,0.16666666666666666,4.0,9.0,0.10000000000000002,0.06666666666666667,0.025,0.125,0.08949236535190937,0.17059772464553621,1.0,0.1111111111111111,0.8000000000000002,0.5,0.4444444444444444,0.5294117647058825
22,SC0,2017-08-19,,Kilmarnock,Celtic,0.0,0.2,0.0,0.1,A,A,0.15,0.75,0.0,0.3,1.0,0.392,0.0625,0.0,1.0,3,4,0.16666666666666666,0.13333333333333333,0.42500000000000004,0.07500000000000001,0.5166666666666666,0.39999999999999997,0.8875,0.2625,0.21666666666666667,0.10000000000000002,0.45,0.1375,0.6666666666666666,1.0,5.0,1.0,0.06666666666666667,0.06666666666666667,0.175,0.0,0.2664503772540243,0.020574950806266427,0.6666666666666666,1.0,0.7692307692307692,0.4193548387096775,0.9444444444444445,0.5070422535211268
23,SC0,2017-08-19,,Motherwell,Ross County,0.2,0.0,0.0,0.0,H,D,0.35,0.55,0.15,0.15,0.144,0.184,0.132,1.0,0.0,3,3,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3833333333333333,0.6833333333333332,0.44999999999999996,0.5333333333333333,0.13333333333333333,0.25000000000000006,0.16666666666666666,0.25,0.0,0.6666666666666666,11.0,5.0,0.03333333333333333,0.19999999999999998,0.13333333333333333,0.03333333333333333,0.09778782899116233,0.22127523017866768,0.0,0.6666666666666666,1.0,0.3478260869565218,1.0,0.3703703703703704
24,SC0,2017-08-19,,Rangers,Hearts,0.0,0.0,0.0,0.0,D,D,0.5,0.35,0.1,0.0,0.08399999999999999,0.2065,0.277,0.3333333333333333,0.3333333333333333,3,3,0.2333333333333333,0.06666666666666667,0.10000000000000002,0.2333333333333333,0.5499999999999999,0.4166666666666667,0.35000000000000003,0.6666666666666666,0.19999999999999998,0.10000000000000002,0.10000000000000002,0.2833333333333333,1.0,0.1111111111111111,3.0,11.0,0.13333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.10378375904508103,0.21578669364958572,1.0,0.1111111111111111,1.0,0.36363636363636365,1.0,0.28571428571428575
25,SC0,2017-08-19,,St Johnstone,Partick,0.1,0.0,0.1,0.0,H,H,0.35,0.3,0.15,0.15,0.1065,0.16999999999999998,0.1935,1.0,0.0,3,3,0.10000000000000002,0.23333333333333336,0.03333333333333333,0.2333333333333333,0.3333333333333333,0.7166666666666667,0.31666666666666665,0.5499999999999999,0.10000000000000002,0.4166666666666667,0.13333333333333333,0.25,0.3333333333333333,0.0,10.0,12.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.16492246677358424,0.08574931078113325,0.3333333333333333,0.0,1.0,0.3000000000000001,0.25,0.4210526315789474
26,SC0,2017-08-26,,Celtic,St Johnstone,0.1,0.1,0.0,0.1,D,A,1.0,0.35,0.55,0.15,0.06,0.392,0.9525,0.3333333333333333,0.3333333333333333,5,4,0.38,0.06000000000000001,0.1,0.17500000000000002,0.86,0.24,0.3375,0.6124999999999999,0.42000000000000004,0.11000000000000001,0.11250000000000002,0.35,1.0,0.5,1.0,7.0,0.15999999999999998,0.0,0.07500000000000001,0.05,0.020377911498824054,0.15991871395832044,1.0,0.6666666666666666,0.9047619047619047,0.48837209302325585,0.8888888888888888,0.33333333333333337
27,SC0,2017-08-26,,Kilmarnock,Hamilton,0.2,0.2,0.1,0.0,D,H,0.3,0.7,0.1,0.3,0.1275,0.175,0.1525,0.3333333333333333,0.3333333333333333,4,5,0.125,0.15000000000000002,0.13999999999999999,0.2,0.42499999999999993,0.4875,0.52,0.64,0.1625,0.15000000000000002,0.26000000000000006,0.26,0.5,0.3333333333333333,6.0,8.0,0.05,0.07500000000000001,0.02,0.1,0.20473522150778187,0.21774465266334841,0.3333333333333333,0.3333333333333333,0.7692307692307692,0.3823529411764707,0.5384615384615383,0.5000000000000001
