,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
16,G1,2017-05-11,,AEK,PAOK,0.1,0.0,0.1,0.0,H,H,0.15,0.2,0.1,0.05,0.11599999999999999,0.159,0.1815,1.0,0.0,2,1,0.1,0.1,0.3,0.0,0.675,0.25,0.3,0.2,0.22499999999999998,0.125,0.25,0.1,0.5,1.0,8.0,6.0,0.0,0.0,0.2,0.0,0.22234826310397882,0.10206603359130872,,,0.44444444444444453,0.33333333333333326,1.0,0.8333333333333334
17,G1,2017-05-11,,Apollon,Giannina,0.4,0.3,0.2,0.2,H,D,0.5,0.55,0.3,0.45,0.1375,0.14750000000000002,0.162,1.0,0.0,2,1,0.1,0.25,0.1,0.1,0.2,0.8,0.4,0.5,0.07500000000000001,0.5,0.2,0.15,0.0,0.3333333333333333,15.0,10.0,0.1,0.05,0.0,0.1,0.08958307980363296,0.22513064775656091,,,1.0,0.37500000000000006,0.5,0.5
18,G1,2017-05-11,,Kerkyra,Larisa,0.1,0.1,0.1,0.1,D,D,0.55,0.25,0.15,0.1,0.119,0.15,0.1935,0.3333333333333333,0.3333333333333333,2,1,0.0,0.30000000000000004,0.1,0.1,0.225,0.5,0.5,0.4,0.125,0.325,0.15,0.2,0.0,0.3333333333333333,16.0,11.0,0.0,0.15,0.1,0.0,0.15505097852763555,0.22513064775656091,,,0.0,0.5555555555555556,0.6666666666666667,0.3
19,G1,2017-05-11,,Olympiakos,Platanias,0.5,0.1,0.3,0.0,H,H,0.75,0.35,0.55,0.25,0.059,0.3875,1.0,1.0,0.0,2,1,0.15,0.1,0.1,0.3,0.85,0.2,0.6,0.6,0.42500000000000004,0.05,0.45,0.3,0.5,0.0,8.0,15.0,0.05,0.05,0.1,0.0,0.2403752637778238,0.15840008264710545,,,0.3529411764705882,0.5000000000000001,0.22222222222222224,0.75
20,G1,2017-06-11,,Levadeiakos,Lamia,0.0,0.0,0.0,0.0,D,D,0.55,0.2,0.35,0.05,0.098,0.155,0.266,0.3333333333333333,0.3333333333333333,2,2,0.1,0.15000000000000002,0.15000000000000002,0.1,0.45,0.6,0.6,0.575,0.19999999999999998,0.2,0.22499999999999998,0.35,0.5,0.6666666666666666,9.0,6.0,0.0,0.05,0.0,0.1,0.13457379663166238,0.24002372042041614,,,0.5000000000000001,0.4444444444444444,0.6666666666666669,0.375
21,G1,2017-08-19,,Asteras Tripolis,Giannina,0.1,0.2,0.0,0.2,A,A,0.7,0.45,0.45,0.2,0.0905,0.1875,0.275,0.0,1.0,3,2,0.23333333333333336,0.0,0.2,0.25,0.4166666666666667,0.26666666666666666,0.47500000000000003,0.5,0.2833333333333334,0.11666666666666665,0.325,0.22499999999999998,1.0,0.16666666666666666,1.0,12.0,0.09999999999999999,0.0,0.1,0.15000000000000002,0.22638463965906516,0.21508666643998392,,,0.8235294117647058,0.68,0.6153846153846154,0.6842105263157895
22,G1,2017-08-19,,Olympiakos,Larisa,0.4,0.1,0.1,0.0,H,H,0.8,0.15,0.5,0.05,0.058499999999999996,0.375,0.875,1.0,0.0,3,2,0.26666666666666666,0.10000000000000002,0.1,0.1,0.8166666666666668,0.25,0.375,0.47500000000000003,0.46666666666666673,0.11666666666666665,0.125,0.175,0.6666666666666666,0.3333333333333333,3.0,12.0,0.13333333333333333,0.03333333333333333,0.1,0.05,0.16496334242360502,0.22719118068586133,,,0.5714285714285714,0.5714285714285714,0.8,0.3333333333333333
23,G1,2017-08-19,,Xanthi,Lamia,0.0,0.0,0.0,0.0,D,D,0.4,0.2,0.2,0.05,0.08349999999999999,0.176,0.39049999999999996,0.3333333333333333,0.3333333333333333,3,3,0.16666666666666666,0.13333333333333333,0.10000000000000002,0.06666666666666667,0.31666666666666665,0.3666666666666667,0.4666666666666666,0.5666666666666667,0.19999999999999998,0.25,0.16666666666666666,0.3499999999999999,0.6666666666666666,0.5555555555555555,5.0,6.0,0.09999999999999999,0.06666666666666667,0.0,0.06666666666666667,0.20516700361209392,0.24385335582011666,0.6666666666666666,0.5555555555555555,0.8333333333333334,0.631578947368421,0.6000000000000002,0.35714285714285715
24,G1,2017-08-20,,AEK,Panetolikos,0.2,0.0,0.1,0.0,H,H,0.55,0.5,0.25,0.2,0.068,0.25,0.697,1.0,0.0,3,2,0.10000000000000002,0.06666666666666667,0.15000000000000002,0.25,0.5,0.2333333333333333,0.45,0.375,0.18333333333333332,0.09999999999999999,0.275,0.2,0.6666666666666666,0.16666666666666666,5.0,13.0,0.03333333333333333,0.0,0.1,0.15,0.20362113507755453,0.2589316198438108,,,0.5454545454545456,0.36666666666666664,0.5454545454545455,0.6111111111111112
25,G1,2017-08-20,,Kerkyra,Panionios,0.0,0.1,0.0,0.0,A,D,0.2,0.5,0.05,0.2,0.205,0.155,0.1165,0.0,1.0,3,3,0.03333333333333333,0.23333333333333336,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.4166666666666667,0.5499999999999999,0.6166666666666667,0.13333333333333333,0.25,0.26666666666666666,0.2833333333333333,0.1111111111111111,0.4444444444444444,14.0,8.0,0.03333333333333333,0.13333333333333333,0.0,0.0,0.17978455689014428,0.2973587717407728,0.1111111111111111,0.4444444444444444,0.25,0.4,0.125,0.4848484848484849
