,Div,Date,Time,HomeTeam,AwayTeam,GoalsFor_H,GoalsFor_A,GoalsForHT_H,GoalsForHT_A,FTR,HTR,ShotsTaken_H,ShotsTaken_A,TShotsTaken_H,TShotsTaken_A,HomeOdds,DrawOdds,AwayOdds,Points_H,Points_A,T_GamesPlayed_H,T_GamesPlayed_A,T_GoalsFor_H,T_GoalsAg_H,T_GoalsFor_A,T_GoalsAg_A,T_ShotsTaken_H,T_ShotsFaced_H,T_ShotsTaken_A,T_ShotsFaced_A,T_TShotsTaken_H,T_TShotsFaced_H,T_TShotsTaken_A,T_TShotsFaced_A,T_Points_H,T_Points_A,T_TablePosition_H,T_TablePosition_A,T_GoalsForHT_H,T_GoalsAgHT_H,T_GoalsForHT_A,T_GoalsAgHT_A,T_Variance_H,T_Variance_A,L3M_Points_H,L3M_Points_A,T_Conversion_H,T_Accuracy_H,T_Conversion_A,T_Accuracy_A
17,F1,2005-04-12,,Nancy,Marseille,0.1,0.1,0.0,0.0,D,D,0.3,0.5,0.1,0.15,0.1375,0.15,0.15,0.3333333333333333,0.3333333333333333,1,1,0.2,0.0,0.1,0.0,0.5,0.55,0.5,0.5,0.25,0.3,0.2,0.15,1.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,0.31306454187741434,0.2442668274472639,,,0.8,0.5,0.5,0.4
18,F1,2005-04-12,,Rennes,Nice,0.1,0.0,0.0,0.0,H,D,0.5,0.4,0.2,0.15,0.0975,0.16,0.2625,1.0,0.0,1,1,0.1,0.3,0.0,0.1,0.3,0.6,0.5,0.5,0.1,0.35,0.15,0.2,0.0,0.0,17.0,16.0,0.1,0.0,0.0,0.0,0.1546929779298997,0.2442668274472639,,,1.0,0.33333333333333337,0.0,0.3
19,F1,2005-05-11,,Le Mans,Marseille,0.3,0.0,0.1,0.0,H,H,0.65,0.5,0.25,0.25,0.132,0.155,0.16,1.0,0.0,2,2,0.0,0.25,0.1,0.05,0.3,0.425,0.5,0.4,0.07500000000000001,0.175,0.175,0.125,0.0,0.6666666666666666,19.0,6.0,0.0,0.15000000000000002,0.0,0.0,0.10095017953568286,0.23676457380933752,,,0.0,0.25000000000000006,0.5714285714285715,0.35
20,F1,2005-05-11,,Metz,Ajaccio,0.2,0.0,0.0,0.0,H,D,0.6,0.55,0.2,0.05,0.12250000000000001,0.15,0.175,1.0,0.0,2,1,0.1,0.15000000000000002,0.0,0.1,0.42500000000000004,0.5,0.65,0.65,0.125,0.175,0.1,0.3,0.16666666666666666,0.0,15.0,17.0,0.05,0.05,0.0,0.0,0.2124912672946443,0.3075536509879944,,,0.8,0.2941176470588235,0.0,0.15384615384615385
21,F1,2005-05-11,,Nantes,Nancy,0.3,0.0,0.1,0.0,H,H,0.6,0.45,0.35,0.2,0.10500000000000001,0.1525,0.22000000000000003,1.0,0.0,2,2,0.0,0.30000000000000004,0.15000000000000002,0.05,0.375,0.775,0.4,0.525,0.075,0.4,0.175,0.22499999999999998,0.0,0.6666666666666666,20.0,4.0,0.0,0.15,0.0,0.0,0.09344292616414993,0.2711634310244127,,,0.0,0.19999999999999998,0.8571428571428573,0.43749999999999994
22,F1,2005-05-11,,Nice,Bordeaux,0.0,0.1,0.0,0.0,A,D,0.35,0.35,0.2,0.2,0.13,0.144,0.161,0.0,1.0,2,2,0.0,0.1,0.1,0.0,0.45,0.5,0.525,0.325,0.15,0.2,0.175,0.05,0.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.18401362736809698,0.1624511852733701,,,0.0,0.3333333333333333,0.5714285714285715,0.3333333333333333
23,F1,2005-05-11,,St Etienne,Auxerre,0.1,0.1,0.1,0.0,D,H,0.65,0.4,0.25,0.2,0.11000000000000001,0.1525,0.20750000000000002,0.3333333333333333,0.3333333333333333,2,2,0.2,0.1,0.2,0.1,0.575,0.55,0.45,0.45,0.175,0.22499999999999998,0.275,0.175,0.5,0.5,10.0,9.0,0.1,0.05,0.15,0.0,0.13081661508769482,0.13813676276091447,,,1.0,0.30434782608695654,0.7272727272727273,0.6111111111111112
24,F1,2005-05-11,,Toulouse,Lyon,0.0,0.1,0.0,0.1,A,A,0.65,0.45,0.25,0.2,0.25,0.1635,0.0975,0.0,1.0,2,2,0.2,0.1,0.25,0.05,0.5,0.375,0.6499999999999999,0.25,0.2,0.2,0.3,0.125,0.6666666666666666,1.0,4.0,2.0,0.05,0.05,0.05,0.05,0.2064847612075486,0.1250512400469808,,,1.0,0.4,0.8333333333333334,0.46153846153846156
25,F1,2005-06-08,,Ajaccio,Lille,0.3,0.3,0.2,0.2,D,D,0.85,0.5,0.3,0.3,0.155,0.155,0.1375,0.3333333333333333,0.3333333333333333,2,2,0.0,0.15000000000000002,0.0,0.1,0.6000000000000001,0.625,0.44999999999999996,0.475,0.07500000000000001,0.25,0.175,0.225,0.0,0.0,19.0,18.0,0.0,0.0,0.0,0.0,0.24427923961157166,0.1939136798028956,,,0.0,0.125,0.0,0.3888888888888889
26,F1,2005-06-08,,Bordeaux,Nancy,0.1,0.0,0.1,0.0,H,H,0.35,0.45,0.3,0.2,0.08499999999999999,0.175,0.35,1.0,0.0,3,3,0.10000000000000002,0.0,0.10000000000000002,0.13333333333333333,0.4666666666666666,0.3333333333333333,0.4166666666666667,0.5499999999999999,0.18333333333333335,0.10000000000000002,0.18333333333333335,0.26666666666666666,1.0,0.4444444444444444,2.0,9.0,0.0,0.0,0.0,0.03333333333333333,0.19094758458272387,0.22894532003942358,1.0,0.4444444444444444,0.5454545454545455,0.3928571428571429,0.5454545454545455,0.44
